فريق,مباراة,تاريخ,استحواذ,تمريرات_ناجحة,تسديدات,تسديدات_على_المرمى,أهداف,ركلات_ركنية,تسللات,أخطاء,بطاقات_صفراء,بطاقات_حمراء
الفريق_أ,1,2024-01-01,60,450,15,8,2,7,3,10,2,0
الفريق_ب,1,2024-01-01,40,300,10,5,1,5,2,12,3,0
الفريق_أ,2,2024-01-08,55,420,12,6,1,6,2,8,1,0
الفريق_ب,2,2024-01-08,45,330,11,4,2,4,1,9,2,0
الفريق_أ,3,2024-01-15,65,480,18,10,3,8,4,7,1,0
الفريق_ب,3,2024-01-15,35,280,8,3,0,3,1,11,2,1
الفريق_أ,4,2024-01-22,58,440,14,7,2,6,3,9,2,0
الفريق_ب,4,2024-01-22,42,310,9,4,1,4,2,10,1,0
الفريق_أ,5,2024-01-29,62,460,16,9,3,7,2,8,1,0
الفريق_ب,5,2024-01-29,38,290,7,3,0,3,1,12,3,0
